Campaign report
"April 10, 2026 - April 10, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Impr.,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Enabled,DE | Weight Loss Injection | Ozempic | Search | Prospecting |,4000.00, --,Daily,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy,70.36,Search,584,8.81%,USD,5.15,3007.03,"6,627",Maximize Conversions (Target CPA),584,0.93%,"1,007.64",0.34,5.42,5.15,554.75,"1,007.64"
Enabled,DE | Online Pharmacy/Doctor | Search | Prospecting | tCPA,1500.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; ad strength is poor; missing enough relevant keywords,67.29,Search,254,6.65%,USD,3.33,844.74,"3,822",Maximize Conversions (Target CPA),254,3.48%,247.73,0.29,8.84,3.33,95.55,247.73
Enabled,DE | Birth control | Search | Prospecting | tCPA,1500.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; missing enough relevant keywords,62.23,Search,133,4.45%,USD,3.28,436.28,"2,989",Maximize Conversions (Target CPA),133,6.77%,295.25,0.68,9.00,3.28,48.48,295.25
Enabled,DE | Hair loss | Search | Prospecting | tCPA,600.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited,68.37,Search,28,2.92%,USD,4.04,113.25,958,Maximize Conversions (Target CPA),28,5.85%,66.90,0.59,1.64,4.04,69.16,66.90
Paused,(old) DE | Contraceptive Pill | - | Search | Prospecting,1.20, --,Daily,Paused,unknown; campaign paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Target Impression Share,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Search | Prospecting | tCPA 300 -maxcpc 15,1100.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | Head terms,400.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | GLP1 | Search | Generic,780.00, --,Daily,Paused,campaign paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Search | Prospecting | maxconv,1000.00, --,Daily,Paused,unknown; campaign paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | maxConv,1600.00, --,Daily,Paused,unknown; campaign paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
